데이터직무별(1),2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
데이터직무별(1),인력수 (명),인력수 (명),인력수 (명),인력수 (명),구성비 (%),구성비 (%),구성비 (%),구성비 (%),인력수 (명),인력수 (명),인력수 (명),인력수 (명),구성비 (%),구성비 (%),구성비 (%),구성비 (%),인력수 (명),인력수 (명),인력수 (명),인력수 (명),구성비 (%),구성비 (%),구성비 (%),구성비 (%),인력수 (명),인력수 (명),인력수 (명),인력수 (명),구성비 (%),구성비 (%),구성비 (%),구성비 (%),인력수 (명),인력수 (명),인력수 (명),인력수 (명),구성비 (%),구성비 (%),구성비 (%),구성비 (%),인력수 (명),인력수 (명),인력수 (명),인력수 (명),구성비 (%),구성비 (%),구성비 (%),구성비 (%),인력수 (명),인력수 (명),인력수 (명),인력수 (명),구성비 (%),구성비 (%),구성비 (%),구성비 (%)
데이터직무별(1),전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업
전체,73256,9272,35404,28580,100,100,100,100,77105,10291,37516,29298,100,100,100,100,82623,11541,40197,30885,100,100,100,100,89058,13467,42979,32611,100,100,100,100,101967,17273,48644,36050,100,100,100,100,122431,22124,58733,41574,100,100,100,100,134310,23545,64248,46517,100,100,100,100
데이터 아키텍트,4736,569,3712,455,6.5,6.1,10.5,1.6,5025,618,3918,489,6.5,6,10.4,1.7,5901,806,4330,765,7.1,7,10.8,2.5,6508,1202,4355,952,7.3,8.9,10.1,2.9,7470,1588,4915,967,7.3,9.2,10.1,2.7,9329,2061,6044,1223,7.6,9.3,10.3,2.9,9711,2067,6227,1416,7.2,8.8,9.7,3
데이터 개발자,27379,3835,14971,8573,37.4,41.4,42.3,30,29267,4429,15890,8948,38,43,42.4,30.5,30022,4579,16302,9141,36.3,39.7,40.6,29.6,31330,4799,17092,9439,35.2,35.6,39.8,28.9,34085,5683,18173,10229,33.4,32.9,37.4,28.4,42128,7891,21858,12379,34.4,35.7,37.2,29.8,44977,8286,22458,14233,33.5,35.2,35,30.6
데이터 엔지니어,12664,1380,6886,4398,17.3,14.9,19.4,15.4,13127,1468,7225,4434,17,14.3,19.3,15.1,13731,1616,7528,4587,16.6,14,18.7,14.9,14592,1862,8035,4695,16.4,13.8,18.7,14.4,16450,2421,8780,5249,16.1,14,18,14.6,18964,3276,9866,5822,15.5,14.8,16.8,14,21923,3375,11549,6999,16.3,14.3,18,15
데이터 분석가,4477,588,1817,2072,6.1,6.3,5.1,7.2,4792,629,1973,2190,6.2,6.1,5.3,7.5,5820,892,2457,2471,7,7.7,6.1,8,6571,1039,2794,2737,7.4,7.7,6.5,8.4,7555,1292,3011,3251,7.4,7.5,6.2,9,9461,1519,3828,4113,7.7,6.9,6.5,9.9,10974,1836,4815,4323,8.2,7.8,7.5,9.3
데이터베이스관리자,11488,648,3869,6971,15.7,7,10.9,24.4,11851,702,4120,7029,15.4,6.8,11,24,12615,842,4617,7156,15.3,7.3,11.5,23.2,12928,1023,4644,7260,14.5,7.6,10.8,22.3,15199,1409,6098,7692,14.9,8.2,12.5,21.3,17706,1769,7736,8201,14.5,8,13.2,19.7,19961,1867,9122,8972,14.9,7.9,14.2,19.3
데이터 과학자,1185,203,538,444,1.6,2.2,1.5,1.6,1283,218,583,482,1.7,2.1,1.6,1.7,1285,218,581,486,1.6,1.9,1.4,1.6,1608,288,784,536,1.8,2.1,1.8,1.6,2421,540,1149,732,2.4,3.1,2.4,2,3027,762,1443,823,2.5,3.4,2.5,2,3297,706,1647,945,2.5,3,2.6,2
데이터 컨설턴트,4028,1446,2460,122,5.5,15.6,6.9,0.4,4263,1530,2607,126,5.5,14.9,6.9,0.4,5007,1736,2904,367,6.1,15,7.2,1.2,5686,2076,3001,609,6.4,15.4,7,1.9,6979,2265,3672,1042,6.8,13.1,7.5,2.9,8979,2556,4856,1567,7.3,11.6,8.3,3.8,9909,2833,5251,1825,7.4,12,8.2,3.9
데이터 기획자,7299,603,1151,5545,10,6.5,3.3,19.4,7497,697,1200,5600,9.7,6.8,3.2,19.1,8242,852,1478,5912,10,7.4,3.7,19.1,9836,1177,2274,6384,11,8.7,5.3,19.6,11808,2075,2845,6889,11.6,12,5.8,19.1,12837,2289,3101,7447,10.5,10.3,5.3,17.9,13558,2574,3179,7805,10.1,10.9,4.9,16.8
